parameter_name,Retinal Blood Vessels
parameter_id,IMPC_EYE_024_001
mouse_strain,C57BL
analysis_id,4646gikjt2i0rq1
mouse_life_stage,Early adult
pvalue,0.06992666
gene_symbol,Sprr1b
gene_accession_id,MGI:106659
