analysis_id,7kw64115l1h5532
gene_symbol,AU040320
parameter_id,MGP_CSD_030_001
gene_accession_id,MGI:2140475
parameter_name,Limb coat/hair presence
pvalue,0.9440086
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
