gene_symbol,Ppm1j
analysis_id,qub802t17x24631
parameter_id,MGP_MLN_066_001
pvalue,0.4859282
gene_accession_id,MGI:1919137
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
