parameter_name,Creatinine
analysis_id,3au1j3g88b67sd4
parameter_id,IMPC_CBC_005_001
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
pvalue,0.8084249
gene_symbol,Cds2
mouse_strain,C57BL
