analysis_id,z42b1wz9411s55p
gene_symbol,Slc39a10
mouse_strain,C57BL
gene_accession_id,MGI:1914515
mouse_life_stage,Early adult
pvalue,0.2936049
parameter_id,IMPC_XRY_023_001
parameter_name,Ulna
