analysis_id,nd70p5ol9e660p9
parameter_id,HRWLLA_DXA_007_001
parameter_name,BMC/Body weight
gene_symbol,Mapkap1
pvalue,0.5208926
gene_accession_id,MGI:2444554
mouse_strain,C57BL
mouse_life_stage,E15.5
