parameter_name,Zygomatic bone
gene_symbol,Mapkap1
pvalue,0.4949787
mouse_life_stage,Early adult
gene_accession_id,MGI:2444554
parameter_id,IMPC_XRY_002_001
analysis_id,dpfg47083979s95
mouse_strain,C57BL
