gene_symbol,Dnaaf9
parameter_id,IMPC_CBC_024_001
mouse_life_stage,Early adult
analysis_id,a3pg82jewr4lt65
gene_accession_id,MGI:1923029
parameter_name,UIBC (unsaturated iron binding capacity)
mouse_strain,C57BL
pvalue,0.6862332
