gene_symbol,Inpp1
mouse_life_stage,Early adult
parameter_id,JAXLA_CSD_077_001
pvalue,0.5545545
mouse_strain,129SV
gene_accession_id,MGI:104848
parameter_name,Contact righting
analysis_id,b68p8lhjd6kkzxd
