parameter_id,IMPC_IPG_011_001
gene_symbol,Secisbp2l
mouse_strain,C57BL
parameter_name,Initial response to glucose challenge
mouse_life_stage,Middle aged adult
pvalue,0.3954003
analysis_id,8vt4597eto7842g
gene_accession_id,MGI:1917604
