analysis_id,9u865dtu002twv4
pvalue,0.1640286
mouse_life_stage,Early adult
gene_accession_id,MGI:2653612
parameter_name,Percent time in dark
mouse_strain,C57BL
parameter_id,JAX_LDT_008_001
gene_symbol,Amigo1
