analysis_id,mojq0809ti7c7x9
gene_accession_id,MGI:1914515
pvalue,0.8998614
gene_symbol,Slc39a10
parameter_id,JAXLA_CSD_007_001
parameter_name,Coat - color - abdomen
mouse_strain,C57BL
mouse_life_stage,E9.5
