analysis_id,v2053zac82q4d80
gene_accession_id,MGI:1917604
pvalue,0.4492529
parameter_name,Alkaline phosphatase
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
gene_symbol,Secisbp2l
parameter_id,IMPC_CBC_014_001
