gene_symbol,Mapkap1
pvalue,0.1334102
parameter_name,Urea (Blood Urea Nitrogen - BUN)
gene_accession_id,MGI:2444554
analysis_id,33o1bp3i4zv9988
mouse_strain,C57BL
parameter_id,IMPC_CBC_004_001
mouse_life_stage,Early adult
