parameter_name,Hemoglobin
pvalue,0.6139489
mouse_strain,C57BL
gene_accession_id,MGI:109356
parameter_id,IMPC_HEM_003_001
analysis_id,b190k289twla4zp
gene_symbol,Snap23
mouse_life_stage,Late adult
