parameter_name,Limb coat/hair presence
analysis_id,x3r153ma2cn8j8e
gene_accession_id,MGI:108072
parameter_id,MGP_CSD_030_001
gene_symbol,Traf6
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.4443426
