gene_symbol,Rnf114
analysis_id,5367g40j3q7m0x1
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
parameter_id,ESLIM_011_001_705
mouse_strain,C57BL
pvalue,0.1946429
parameter_name,Global prepulse inhibition
