analysis_id,xy759l2078cax0o
pvalue,0.3891378
mouse_strain,C57BL
gene_symbol,Nanp
mouse_life_stage,E18.5
parameter_name,% Pre-pulse inhibition - PPI2
gene_accession_id,MGI:1914561
parameter_id,IMPC_ACS_034_001
