parameter_name,Body Weight
analysis_id,m03c227nv7g67q9
mouse_life_stage,Early adult
parameter_id,M-G-P_020_001_001
gene_symbol,Slc39a10
pvalue,0.7257242
mouse_strain,C57BL
gene_accession_id,MGI:1914515
