analysis_id,45m61ixa1wo91b3
gene_symbol,Ssr2
parameter_id,MGP_IMM_026_001
mouse_strain,C57BL
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
pvalue,0.2529793
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
