parameter_name,Body Weight
parameter_id,M-G-P_012_001_005
mouse_strain,C54BL
gene_accession_id,MGI:103302
pvalue,0.1349207
mouse_life_stage,Early adult
gene_symbol,Bmp7
analysis_id,8w7e57c06a5g5o2
