analysis_id,j7516e24ao489o5
parameter_name,Head coat/hair presence
mouse_strain,C57BL
gene_symbol,Tbl1xr1
mouse_life_stage,Late adult
pvalue,0.6942821
gene_accession_id,MGI:2441730
parameter_id,MGP_CSD_015_001
