analysis_id,8n36csbu7zhp420
mouse_strain,C57BL
gene_symbol,Ahctf1
parameter_id,MGP_IMM_004_001
mouse_life_stage,Early adult
pvalue,0.6503585
gene_accession_id,MGI:1915033
parameter_name,Total CD4+ T cells - % of ab T cells
