mouse_life_stage,Early adult
gene_symbol,Mov10
analysis_id,ss12u7z6g2k60y4
mouse_strain,C57BL
parameter_name,Aggression
parameter_id,IMPC_CSD_079_001
gene_accession_id,MGI:97054
pvalue,0.3999093
