gene_symbol,Pglyrp3
analysis_id,x88pzg7z2lv1wy6
parameter_id,JAX_LDT_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:2685266
pvalue,0.6510089
parameter_name,Percent time in dark
