gene_symbol,Cntfr
analysis_id,6oqb00fp20630tb
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:99605
pvalue,0.7715792
parameter_id,MGP_PBI_019_001
parameter_name,Neutrophil percentage
