analysis_id,9j9c7g757c247k5
mouse_strain,C57BL
parameter_name,Corneal vascularization
mouse_life_stage,Early adult
gene_accession_id,MGI:1914309
parameter_id,IMPC_EYE_009_001
pvalue,0.5778607
gene_symbol,Ola1
