parameter_name,Others
mouse_life_stage,Early adult
gene_symbol,Pld1
analysis_id,02k9a9x03k6mkf0
pvalue,0.08930406
parameter_id,IMPC_IMM_006_001
gene_accession_id,MGI:109585
mouse_strain,C57BL
