gene_symbol,Arpc5l
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1124556
parameter_name,Distance travelled - total
parameter_id,IMPC_OFD_020_001
gene_accession_id,MGI:1921442
analysis_id,i7z33071059x7ud
