mouse_life_stage,E9.5
mouse_strain,C57BL
parameter_name,Total ab T cells - % of CD45+
parameter_id,MGP_MLN_063_001
pvalue,0.2006317
gene_symbol,Tiprl
gene_accession_id,MGI:1915087
analysis_id,202uq9a10sg2bf1
