analysis_id,9a63x938y0pva35
mouse_strain,C57BL
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:109356
parameter_name,Global prepulse inhibition
mouse_life_stage,Middle aged adult
gene_symbol,Snap23
pvalue,0.8389087
