analysis_id,aa46y7m1gh1785o
pvalue,0.2332895
mouse_strain,C57BL
parameter_id,MGP_MLN_067_001
gene_symbol,Mapkap1
parameter_name,Resting CD4+ T helper cells - % of CD45+
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
