parameter_name,Platelet count
gene_symbol,Tnfsf10
parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:107414
pvalue,0.7755211
analysis_id,5u227hc789n7w8z
