analysis_id,3lree8vd9sl543n
mouse_life_stage,Early adult
pvalue,0.4550429
gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
mouse_strain,C57BL
parameter_name,Retinal Blood Vessels Pattern
parameter_id,IMPC_EYE_026_001
