analysis_id,0tm4i0u8191rja2
pvalue,0.4272208
parameter_id,MGP_BMI_014_001
mouse_life_stage,Early adult
parameter_name,Mature B cells (Hardy fraction F) - % of CD45+
gene_symbol,Pum1
gene_accession_id,MGI:1931749
mouse_strain,C57BL
