parameter_name,DN CD44+CD62L+ NKT cells
parameter_id,IMPC_IMM_047_001
pvalue,0.06611371
analysis_id,to2l130nfu8xm83
gene_symbol,Tiprl
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:1915087
