analysis_id,q5y3993b756usxg
gene_accession_id,MGI:2446186
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.005442007
gene_symbol,Lpgat1
parameter_name,Coat - color - abdomen
parameter_id,JAXLA_CSD_007_001
