gene_symbol,Dnajc8
pvalue,0.5955001
parameter_name,Coat - color - abdomen
analysis_id,h5317zos42u6ail
mouse_strain,C59BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
parameter_id,IMPC_CSD_007_001
