gene_symbol,Trp53rkb
gene_accession_id,MGI:1914050
mouse_strain,C57BL
analysis_id,28e6x45lph0x5n6
parameter_id,IMPC_IMM_034_001
parameter_name,CD8 CD44-CD62L+ T cells
pvalue,0.9061241
mouse_life_stage,Early adult
