gene_symbol,Abo
mouse_life_stage,Early adult
pvalue,0.1141492
analysis_id,2k3h0y00zz64nvw
gene_accession_id,MGI:2135738
parameter_id,MGP_IMM_022_001
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
