analysis_id,31z089m9bp6zr9n
mouse_life_stage,Early adult
pvalue,0.8863276
parameter_name,Red blood cell count
gene_symbol,Nr0b2
gene_accession_id,MGI:1346344
mouse_strain,B6J
parameter_id,IMPC_HEM_002_001
