parameter_id,IMPC_XRY_021_001
analysis_id,2w0w7169ynezwil
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1921802
parameter_name,Humerus
gene_symbol,Nipal3
pvalue,0.7601726
