parameter_id,CCP_XRY_001_001
analysis_id,cr3l5d41x4ev9n1
mouse_strain,C57BL
gene_symbol,Gja10
mouse_life_stage,Early adult
pvalue,0.2184646
parameter_name,Skull shape
gene_accession_id,MGI:1339969
