parameter_name,Eosinophil cell count
gene_accession_id,MGI:1913483
pvalue,0.7868342
mouse_strain,C57BL
analysis_id,4xg8br44t4gx18l
mouse_life_stage,E9.5
gene_symbol,Dmap1
parameter_id,IMPC_HEM_036_001
