analysis_id,r4vgfm4ob69551x
parameter_id,IMPC_HEM_036_001
mouse_strain,C57BL
gene_symbol,Trpa1
gene_accession_id,MGI:3522699
parameter_name,Eosinophil cell count
pvalue,0.8303317
mouse_life_stage,Early adult
