analysis_id,jc8tiz41ju9zy18
mouse_life_stage,Early adult
gene_symbol,Kdm5b
gene_accession_id,MGI:1922855
mouse_strain,C57BL
pvalue,0.3887164
parameter_name,Light side time spent
parameter_id,JAX_LDT_002_001
