parameter_name,CV
mouse_life_stage,E9.5
gene_symbol,Ahcy
parameter_id,IMPC_ECG_003_001
mouse_strain,C57BL
analysis_id,o0pnedjp8f935t1
gene_accession_id,MGI:87968
pvalue,0.4307039
