gene_symbol,Sdcbp2
parameter_name,Total T cell percentage
gene_accession_id,MGI:2385156
parameter_id,MGP_PBI_001_001
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,1y526k0wk906008
pvalue,0.2884253
