parameter_name,Sodium
gene_symbol,Tbl1xr1
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5206317
parameter_id,IMPC_CBC_001_001
gene_accession_id,MGI:2441730
analysis_id,4i19591x7y0m36h
