gene_symbol,Mov10
pvalue,0.7289518
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
mouse_strain,C57BL
analysis_id,br71ae6i3m71yj1
parameter_id,IMPC_CBC_014_001
gene_accession_id,MGI:97054
