gene_symbol,Snap23
mouse_strain,C57BL
Analysis_id,35um1470fx25939
parameter_id,IMPC_GEL_057_001
Parameter_name,Heart looping
Gene_accession_id,MGI:109356
Mouse_life_stage,Early adult
Pvalue,0.7337336
