parameter_name,Lean mass
gene_symbol,Ahcy
mouse_life_stage,E9.5
parameter_id,IMPC_DXA_003_001
analysis_id,p05ahnw44pu2a93
gene_accession_id,MGI:87968
mouse_strain,C57BL
pvalue,0.6753544
