parameter_name,Skull shape
pvalue,0.6919418
analysis_id,yuq4hk500ac68f2
gene_symbol,Zcchc2
mouse_life_stage,Early adult
gene_accession_id,MGI:2444114
mouse_strain,C57BL
parameter_id,IMPC_XRY_001_001
