analysis_id,j23pan5xv9c6n1h
gene_symbol,Morn5
parameter_id,ESLIM_007_001_006
gene_accession_id,MGI:1922745
parameter_name,Periphery distance travelled
pvalue,0.293875
mouse_strain,C57BL
mouse_life_stage,Early adult
