gene_symbol,Rap2b
mouse_strain,C57BL
pvalue,0.6559805
analysis_id,ffxidz4h7ak7592
parameter_name,Cornea vascularisation
gene_accession_id,MGI:1921262
parameter_id,ESLIM_014_001_008
mouse_life_stage,Early adult
