gene_symbol,Ufc1
mouse_life_stage,Early adult
pvalue,0.4580596
parameter_id,IMPC_CBC_006_001
gene_accession_id,MGI:1913405
parameter_name,Total protein
analysis_id,i2j4ew7v0122v0d
mouse_strain,C57BL
