analysis_id,2gat3063mw957nb
pvalue,0.6729127
parameter_id,MGP_IMM_130_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,CD11b-low cDC - % of CD45+
gene_symbol,Inpp1
gene_accession_id,MGI:104848
