analysis_id,e11n44ya101to27
parameter_name,Startle response
mouse_strain,129SV
mouse_life_stage,Early adult
parameter_id,HMGULA_SHI_009_001
gene_symbol,Mms22l
pvalue,0.5926832
gene_accession_id,MGI:2684980
