analysis_id,hnumb6tp9n1h8n2
mouse_life_stage,Early adult
mouse_strain,129SV
parameter_id,IMPC_CSD_008_001
pvalue,0.4805123
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
parameter_name,Coat - color pattern - back
