parameter_name,Latency to center entry
gene_symbol,Lamb3
pvalue,0.4082141
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_OFD_018_001
analysis_id,2hcx0048a3812wt
gene_accession_id,MGI:99915
