analysis_id,cg4vjn598182d26
gene_accession_id,MGI:2670995
mouse_strain,C57BL
pvalue,0.9583499
mouse_life_stage,Early adult
parameter_id,MGP_IMM_017_001
gene_symbol,Trp53i11
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
