parameter_name,Click-evoked ABR threshold
mouse_life_stage,Early adult
parameter_id,IMPC_ABR_002_001
analysis_id,7r7ng5m4c792672
pvalue,0.6902079
mouse_strain,C57BL
gene_accession_id,MGI:1927379
gene_symbol,Rhbg
