parameter_name,Dark side time spent
gene_symbol,Amigo1
mouse_strain,C57BL
pvalue,0.618104
mouse_life_stage,Early adult
parameter_id,JAX_LDT_004_001
analysis_id,d30402c2i37fky5
gene_accession_id,MGI:2653612
