analysis_id,a2tq886xx018s9u
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
parameter_id,JAX_OFD_012_001
gene_symbol,F2
pvalue,0.454934
parameter_name,Periphery permanence time
mouse_strain,C57BL
